Name,Publications,Reads,Citations,Projects(Useless),Type,Source
Marc-André Tessier,2,,4,,Government,Google Scholar
Peggy Trousseau,1,,0,,Utilities,Google Scholar
Kathleen Vaillancourt,50,,916,,Consultant,Google Scholar
Henri Van Rensburg,1,,0,,Consultant,Google Scholar
Cameron Wade,5,,57,,University,Google Scholar
Jason Wang,,,,,Government,
Alec Warzin,,,,,Utilities,
Nimal Weeratunga,1,,0,,Utilities,Google Scholar
William Wheeler,,,,,Utilities,
Robin White,,,,,Government,
Paul Wieringa,54,,17713,,Government,Google Scholar
Thomas Williams,1,,,1,Government,Google Scholar
Steven Wong,28,16033,523,1,Government,ResearchGate
Greg Young-Morris,3,264,42,0,Utilities,ResearchGate
Danilo Yu,5,369,15,,University,ResearchGate
Ryan Zade,3,,0,,Government,Google Scholar
Hamid Zareipour,168,,9742,,University,Google Scholar
Peter Zerek,1,,1,,Government,Google Scholar
Naomi Zimmerman,32,7169,854,1,University,ResearchGate
